CDS,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
50711676052682,50,71167,6052682,2015-16,21,21,25,27,44,48,9,9,16,17,34,36
16639176108815,16,63917,6108815,2015-16,39,45,39,42,44,48,26,26,26,29,34,36
30664646095087,30,66464,6095087,2015-16,66,71,69,69,44,48,59,64,55,57,34,36
19647256015374,19,64725,6015374,2015-16,41,33,42,45,44,48,30,28,30,34,34,36
37683386114375,37,68338,6114375,2015-16,36,37,49,54,44,48,25,31,39,42,34,36
19647336015838,19,64733,6015838,2015-16,16,23,34,39,44,48,10,15,25,29,34,36
36738903630282,36,73890,3630282,2015-16,--,55,45,53,44,48,--,,35,41,34,36
19734606108336,19,73460,6108336,2015-16,77,79,72,74,44,48,75,80,68,72,34,36
19646420120956,19,64642,0120956,2015-16,--,--,30,29,44,48,--,--,22,21,34,36
34673140114702,34,67314,0114702,2015-16,68,76,49,52,44,48,66,69,41,42,34,36
